Band_8;Band_9;Band_3;Band_10;Band_11;Band_4;Band_12;Band_1;Band_13;Band_14;Band_15;Band_2;Band_16;Band_17;Band_18;Band_19;Band_5;Band_6;Band_7
0;0;0;0.000404363;0;0;0;0;0;0;0.929473;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.853851;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.853851;0;0;0;0;0;0;0;0
0;0;0;0.000542797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.000723888;0;0;0;0;0;0;0.749499;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.608954;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.608954;0;0;0;0;0;0;0;0
0;0;0;0.000938826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.00149662;0;0;0;0;0;0;0.426368;0;0;0;0;0;0;0;0
0;0;0;0.00149662;0;0;0;0;0;0;0.426368;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.00262217;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.228721;0;0;0;0;0;0;0;0
0;0;0;0.00251636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.00815978;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.00489088;0;0;0;0;0;0;0.0876152;0;0;0;0;0;0;0;0
0;0;0;0.00489088;0;0;0;0;0;0;0.0876152;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.0308496;0;0;0;0;0;0;0
0;0;0;0.0115476;0;0;0;0;0;0;0.0300316;0;0;0;0;0;0;0;0
0;0;0;0.0115476;0;0;0;0;0;0;0.0300316;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.0950109;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.90E-05;3.63E-05;0.000388562;0;0;0;0;0.000589246;0.000572415;0.000200312;0;0;3.71E-06;4.93E-06;2.32E-06;2.89E-06;2.90E-05;7.32E-06;2.08E-05
0;0;0;0.0304012;0;0;0;0;0;0;0.0121307;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.209827;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.209827;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.00527154;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.00527154;0;0;0;0;0;0;0;0
0;0;0;0.0786975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.373967;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0.182201;0;0;0;0;0;0;0.00243814;0;0;0;0;0;0;0;0
0;0;0;0.182201;0;0;0;0;0;0;0.00243814;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.583985;0;0;0;0;0;0;0
0;0;0;0.350661;0;0;0;0;0;0;0.0012785;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.796494;0;0;0;0;0;0;0
0;0;0;0.566436;0;0;0;0;0;0;0.000563201;0;0;0;0;0;0;0;0
0;0;0;0.566436;0;0;0;0;0;0;0.000563201;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.944913;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.000237655;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.000237655;0;0;0;0;0;0;0;0
0;0;0;0.769634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.987884;0;0;0;0;0;0;0
0;0;0;0.909875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.99998;0;0;0;0;0;0;0
